meeting_date,item_id,item_title,member,vote
2026-06-01,38129,Tree Advocacy Committee - Request to Amend Vienna Green Streets Policy (5 min. Staff Presentation),Roy Baldwin,Aye
2026-06-01,38129,Tree Advocacy Committee - Request to Amend Vienna Green Streets Policy (5 min. Staff Presentation),Doug Francis,Nay
2026-06-01,38129,Tree Advocacy Committee - Request to Amend Vienna Green Streets Policy (5 min. Staff Presentation),Dann Nash,Aye
2026-06-01,38129,Tree Advocacy Committee - Request to Amend Vienna Green Streets Policy (5 min. Staff Presentation),Jessica Ramakis,Aye
2026-06-01,38129,Tree Advocacy Committee - Request to Amend Vienna Green Streets Policy (5 min. Staff Presentation),Howard J. Springsteen,Aye
2026-06-01,38129,Tree Advocacy Committee - Request to Amend Vienna Green Streets Policy (5 min. Staff Presentation),Linda Colbert,Aye
2026-05-18,37984,Intent to Adopt Real Estate Tax Rate for FY2026-27 (5 min. Staff Presentation),Chuck Anderson,Aye
2026-05-18,37984,Intent to Adopt Real Estate Tax Rate for FY2026-27 (5 min. Staff Presentation),Roy Baldwin,Nay
2026-05-18,37984,Intent to Adopt Real Estate Tax Rate for FY2026-27 (5 min. Staff Presentation),Doug Francis,Aye
2026-05-18,37984,Intent to Adopt Real Estate Tax Rate for FY2026-27 (5 min. Staff Presentation),Dann Nash,Aye
2026-05-18,37984,Intent to Adopt Real Estate Tax Rate for FY2026-27 (5 min. Staff Presentation),Jessica Ramakis,Aye
2026-05-18,37984,Intent to Adopt Real Estate Tax Rate for FY2026-27 (5 min. Staff Presentation),Howard J. Springsteen,Aye
2026-05-18,37984,Intent to Adopt Real Estate Tax Rate for FY2026-27 (5 min. Staff Presentation),Linda Colbert,Aye
2026-05-18,37985,Intent to Adopt Water and Sewer Rates FY 2026-27 (5 min. Staff Presentation),Chuck Anderson,Aye
2026-05-18,37985,Intent to Adopt Water and Sewer Rates FY 2026-27 (5 min. Staff Presentation),Roy Baldwin,Aye
2026-05-18,37985,Intent to Adopt Water and Sewer Rates FY 2026-27 (5 min. Staff Presentation),Doug Francis,Aye
2026-05-18,37985,Intent to Adopt Water and Sewer Rates FY 2026-27 (5 min. Staff Presentation),Dann Nash,Aye
2026-05-18,37985,Intent to Adopt Water and Sewer Rates FY 2026-27 (5 min. Staff Presentation),Jessica Ramakis,Aye
2026-05-18,37985,Intent to Adopt Water and Sewer Rates FY 2026-27 (5 min. Staff Presentation),Howard J. Springsteen,Aye
2026-05-18,37985,Intent to Adopt Water and Sewer Rates FY 2026-27 (5 min. Staff Presentation),Linda Colbert,Aye
2026-05-18,37986,Intent to Adopt FY 2026-27 Operating Budget (5 Min. Staff Presentation),Chuck Anderson,Aye
2026-05-18,37986,Intent to Adopt FY 2026-27 Operating Budget (5 Min. Staff Presentation),Roy Baldwin,Aye
2026-05-18,37986,Intent to Adopt FY 2026-27 Operating Budget (5 Min. Staff Presentation),Doug Francis,Aye
2026-05-18,37986,Intent to Adopt FY 2026-27 Operating Budget (5 Min. Staff Presentation),Dann Nash,Aye
2026-05-18,37986,Intent to Adopt FY 2026-27 Operating Budget (5 Min. Staff Presentation),Jessica Ramakis,Aye
2026-05-18,37986,Intent to Adopt FY 2026-27 Operating Budget (5 Min. Staff Presentation),Howard J. Springsteen,Aye
2026-05-18,37986,Intent to Adopt FY 2026-27 Operating Budget (5 Min. Staff Presentation),Linda Colbert,Aye
2026-05-18,37983,Request to award a design contract to Bowman Consulting Firm for the Southside Park Ball Field Improvements Project (5 Min. Staff Presentation),Chuck Anderson,Aye
2026-05-18,37983,Request to award a design contract to Bowman Consulting Firm for the Southside Park Ball Field Improvements Project (5 Min. Staff Presentation),Roy Baldwin,Aye
2026-05-18,37983,Request to award a design contract to Bowman Consulting Firm for the Southside Park Ball Field Improvements Project (5 Min. Staff Presentation),Doug Francis,Aye
2026-05-18,37983,Request to award a design contract to Bowman Consulting Firm for the Southside Park Ball Field Improvements Project (5 Min. Staff Presentation),Dann Nash,Aye
2026-05-18,37983,Request to award a design contract to Bowman Consulting Firm for the Southside Park Ball Field Improvements Project (5 Min. Staff Presentation),Jessica Ramakis,Aye
2026-05-18,37983,Request to award a design contract to Bowman Consulting Firm for the Southside Park Ball Field Improvements Project (5 Min. Staff Presentation),Howard J. Springsteen,Aye
2026-05-18,37983,Request to award a design contract to Bowman Consulting Firm for the Southside Park Ball Field Improvements Project (5 Min. Staff Presentation),Linda Colbert,Aye
2026-05-18,37981,"Vienna License/Franchise Agreement with Level 3 Communications, LLC (a subsidiary of Lumen Technologies)",Chuck Anderson,Aye
2026-05-18,37981,"Vienna License/Franchise Agreement with Level 3 Communications, LLC (a subsidiary of Lumen Technologies)",Roy Baldwin,Aye
2026-05-18,37981,"Vienna License/Franchise Agreement with Level 3 Communications, LLC (a subsidiary of Lumen Technologies)",Doug Francis,Aye
2026-05-18,37981,"Vienna License/Franchise Agreement with Level 3 Communications, LLC (a subsidiary of Lumen Technologies)",Dann Nash,Aye
2026-05-18,37981,"Vienna License/Franchise Agreement with Level 3 Communications, LLC (a subsidiary of Lumen Technologies)",Jessica Ramakis,Aye
2026-05-18,37981,"Vienna License/Franchise Agreement with Level 3 Communications, LLC (a subsidiary of Lumen Technologies)",Howard J. Springsteen,Aye
2026-05-18,37981,"Vienna License/Franchise Agreement with Level 3 Communications, LLC (a subsidiary of Lumen Technologies)",Linda Colbert,Aye
2026-05-18,37993,Second Closed Session Report,Chuck Anderson,Aye
2026-05-18,37993,Second Closed Session Report,Roy Baldwin,Aye
2026-05-18,37993,Second Closed Session Report,Doug Francis,Aye
2026-05-18,37993,Second Closed Session Report,Dann Nash,Aye
2026-05-18,37993,Second Closed Session Report,Jessica Ramakis,Aye
2026-05-18,37993,Second Closed Session Report,Howard J. Springsteen,Aye
2026-05-18,37993,Second Closed Session Report,Linda Colbert,Aye
2026-05-04,37895,Fiscal Year 2026-27 Proposed Tax Rate (5 mins),Chuck Anderson,Aye
2026-05-04,37895,Fiscal Year 2026-27 Proposed Tax Rate (5 mins),Roy Baldwin,Aye
2026-05-04,37895,Fiscal Year 2026-27 Proposed Tax Rate (5 mins),Doug Francis,Aye
2026-05-04,37895,Fiscal Year 2026-27 Proposed Tax Rate (5 mins),Dann Nash,Aye
2026-05-04,37895,Fiscal Year 2026-27 Proposed Tax Rate (5 mins),Jessica Ramakis,Aye
2026-05-04,37895,Fiscal Year 2026-27 Proposed Tax Rate (5 mins),Howard J. Springsteen,Aye
2026-05-04,37895,Fiscal Year 2026-27 Proposed Tax Rate (5 mins),Linda Colbert,Aye
2026-04-27,37838,Public Hearing for Fiscal Year 2026-27 Proposed Tax Rate (5 mins.),Chuck Anderson,Aye
2026-04-27,37838,Public Hearing for Fiscal Year 2026-27 Proposed Tax Rate (5 mins.),Roy Baldwin,Aye
2026-04-27,37838,Public Hearing for Fiscal Year 2026-27 Proposed Tax Rate (5 mins.),Doug Francis,Aye
2026-04-27,37838,Public Hearing for Fiscal Year 2026-27 Proposed Tax Rate (5 mins.),Dann Nash,Aye
2026-04-27,37838,Public Hearing for Fiscal Year 2026-27 Proposed Tax Rate (5 mins.),Jessica Ramakis,Aye
2026-04-27,37838,Public Hearing for Fiscal Year 2026-27 Proposed Tax Rate (5 mins.),Howard J. Springsteen,Aye
2026-04-27,37838,Public Hearing for Fiscal Year 2026-27 Proposed Tax Rate (5 mins.),Linda Colbert,Aye
2026-04-27,37837,"Request approval of Transportation Safety Commission (TSC) motion for implementing recommendations at the intersections of Desale Street, SW, and Yeonas Drive, SE, Desale Street, SW, and James Drive, SE, Ross Drive and Desale Street, SW, and Yeonas Circle and Yeonas Drive, SE. (10 mins.)",Chuck Anderson,Aye
2026-04-27,37837,"Request approval of Transportation Safety Commission (TSC) motion for implementing recommendations at the intersections of Desale Street, SW, and Yeonas Drive, SE, Desale Street, SW, and James Drive, SE, Ross Drive and Desale Street, SW, and Yeonas Circle and Yeonas Drive, SE. (10 mins.)",Roy Baldwin,Aye
2026-04-27,37837,"Request approval of Transportation Safety Commission (TSC) motion for implementing recommendations at the intersections of Desale Street, SW, and Yeonas Drive, SE, Desale Street, SW, and James Drive, SE, Ross Drive and Desale Street, SW, and Yeonas Circle and Yeonas Drive, SE. (10 mins.)",Doug Francis,Aye
2026-04-27,37837,"Request approval of Transportation Safety Commission (TSC) motion for implementing recommendations at the intersections of Desale Street, SW, and Yeonas Drive, SE, Desale Street, SW, and James Drive, SE, Ross Drive and Desale Street, SW, and Yeonas Circle and Yeonas Drive, SE. (10 mins.)",Dann Nash,Aye
2026-04-27,37837,"Request approval of Transportation Safety Commission (TSC) motion for implementing recommendations at the intersections of Desale Street, SW, and Yeonas Drive, SE, Desale Street, SW, and James Drive, SE, Ross Drive and Desale Street, SW, and Yeonas Circle and Yeonas Drive, SE. (10 mins.)",Jessica Ramakis,Aye
2026-04-27,37837,"Request approval of Transportation Safety Commission (TSC) motion for implementing recommendations at the intersections of Desale Street, SW, and Yeonas Drive, SE, Desale Street, SW, and James Drive, SE, Ross Drive and Desale Street, SW, and Yeonas Circle and Yeonas Drive, SE. (10 mins.)",Howard J. Springsteen,Aye
2026-04-27,37837,"Request approval of Transportation Safety Commission (TSC) motion for implementing recommendations at the intersections of Desale Street, SW, and Yeonas Drive, SE, Desale Street, SW, and James Drive, SE, Ross Drive and Desale Street, SW, and Yeonas Circle and Yeonas Drive, SE. (10 mins.)",Linda Colbert,Aye
2026-04-27,37836,"Request Authorization for Additional Contract Expenditure for the Nutley Street Culvert Construction Contract, IFB 25-02, with FLB Contractors, Inc. (5 mins)",Chuck Anderson,Aye
2026-04-27,37836,"Request Authorization for Additional Contract Expenditure for the Nutley Street Culvert Construction Contract, IFB 25-02, with FLB Contractors, Inc. (5 mins)",Roy Baldwin,Aye
2026-04-27,37836,"Request Authorization for Additional Contract Expenditure for the Nutley Street Culvert Construction Contract, IFB 25-02, with FLB Contractors, Inc. (5 mins)",Doug Francis,Aye
2026-04-27,37836,"Request Authorization for Additional Contract Expenditure for the Nutley Street Culvert Construction Contract, IFB 25-02, with FLB Contractors, Inc. (5 mins)",Dann Nash,Aye
2026-04-27,37836,"Request Authorization for Additional Contract Expenditure for the Nutley Street Culvert Construction Contract, IFB 25-02, with FLB Contractors, Inc. (5 mins)",Jessica Ramakis,Aye
2026-04-27,37836,"Request Authorization for Additional Contract Expenditure for the Nutley Street Culvert Construction Contract, IFB 25-02, with FLB Contractors, Inc. (5 mins)",Howard J. Springsteen,Aye
2026-04-27,37836,"Request Authorization for Additional Contract Expenditure for the Nutley Street Culvert Construction Contract, IFB 25-02, with FLB Contractors, Inc. (5 mins)",Linda Colbert,Aye
2026-04-27,37839,"Donation of Funds to Historic Vienna, Inc. (HVI) for Vienna250 Programs (5 mins)",Chuck Anderson,Aye
2026-04-27,37839,"Donation of Funds to Historic Vienna, Inc. (HVI) for Vienna250 Programs (5 mins)",Roy Baldwin,Aye
2026-04-27,37839,"Donation of Funds to Historic Vienna, Inc. (HVI) for Vienna250 Programs (5 mins)",Doug Francis,Aye
2026-04-27,37839,"Donation of Funds to Historic Vienna, Inc. (HVI) for Vienna250 Programs (5 mins)",Dann Nash,Aye
2026-04-27,37839,"Donation of Funds to Historic Vienna, Inc. (HVI) for Vienna250 Programs (5 mins)",Jessica Ramakis,Aye
2026-04-27,37839,"Donation of Funds to Historic Vienna, Inc. (HVI) for Vienna250 Programs (5 mins)",Howard J. Springsteen,Aye
2026-04-27,37839,"Donation of Funds to Historic Vienna, Inc. (HVI) for Vienna250 Programs (5 mins)",Linda Colbert,Aye
2026-04-06,37703,Closed Session Report,Chuck Anderson,Aye
2026-04-06,37703,Closed Session Report,Roy Baldwin,Aye
2026-04-06,37703,Closed Session Report,Doug Francis,Aye
2026-04-06,37703,Closed Session Report,Dann Nash,Aye
2026-04-06,37703,Closed Session Report,Jessica Ramakis,Aye
2026-04-06,37703,Closed Session Report,Howard J. Springsteen,Aye
2026-04-06,37703,Closed Session Report,Linda Colbert,Aye
2026-04-06,37710,Public Hearing for Fiscal Year 2026-27 Operating Budget (5 mins.),Chuck Anderson,Aye
2026-04-06,37710,Public Hearing for Fiscal Year 2026-27 Operating Budget (5 mins.),Roy Baldwin,Aye
2026-04-06,37710,Public Hearing for Fiscal Year 2026-27 Operating Budget (5 mins.),Doug Francis,Aye
2026-04-06,37710,Public Hearing for Fiscal Year 2026-27 Operating Budget (5 mins.),Dann Nash,Aye
2026-04-06,37710,Public Hearing for Fiscal Year 2026-27 Operating Budget (5 mins.),Jessica Ramakis,Aye
2026-04-06,37710,Public Hearing for Fiscal Year 2026-27 Operating Budget (5 mins.),Howard J. Springsteen,Aye
2026-04-06,37710,Public Hearing for Fiscal Year 2026-27 Operating Budget (5 mins.),Linda Colbert,Aye
2026-04-06,37711,Public Hearing for Fiscal Year 2026-27 Water and Sewer Rates (5 mins.),Chuck Anderson,Aye
2026-04-06,37711,Public Hearing for Fiscal Year 2026-27 Water and Sewer Rates (5 mins.),Roy Baldwin,Aye
2026-04-06,37711,Public Hearing for Fiscal Year 2026-27 Water and Sewer Rates (5 mins.),Doug Francis,Aye
2026-04-06,37711,Public Hearing for Fiscal Year 2026-27 Water and Sewer Rates (5 mins.),Dann Nash,Aye
2026-04-06,37711,Public Hearing for Fiscal Year 2026-27 Water and Sewer Rates (5 mins.),Jessica Ramakis,Aye
2026-04-06,37711,Public Hearing for Fiscal Year 2026-27 Water and Sewer Rates (5 mins.),Howard J. Springsteen,Aye
2026-04-06,37711,Public Hearing for Fiscal Year 2026-27 Water and Sewer Rates (5 mins.),Linda Colbert,Aye
2026-04-06,37708,"Public Hearing on Request for Approval of Modifications of Site Plan Requirements Related to Parking for Bear Branch Tavern, located at 133 Maple Ave., E, to increase the maximum number of seats from 300 to 337 (15 mins.)",Chuck Anderson,Nay
2026-04-06,37708,"Public Hearing on Request for Approval of Modifications of Site Plan Requirements Related to Parking for Bear Branch Tavern, located at 133 Maple Ave., E, to increase the maximum number of seats from 300 to 337 (15 mins.)",Roy Baldwin,Aye
2026-04-06,37708,"Public Hearing on Request for Approval of Modifications of Site Plan Requirements Related to Parking for Bear Branch Tavern, located at 133 Maple Ave., E, to increase the maximum number of seats from 300 to 337 (15 mins.)",Doug Francis,Aye
2026-04-06,37708,"Public Hearing on Request for Approval of Modifications of Site Plan Requirements Related to Parking for Bear Branch Tavern, located at 133 Maple Ave., E, to increase the maximum number of seats from 300 to 337 (15 mins.)",Dann Nash,Aye
2026-04-06,37708,"Public Hearing on Request for Approval of Modifications of Site Plan Requirements Related to Parking for Bear Branch Tavern, located at 133 Maple Ave., E, to increase the maximum number of seats from 300 to 337 (15 mins.)",Jessica Ramakis,Aye
2026-04-06,37708,"Public Hearing on Request for Approval of Modifications of Site Plan Requirements Related to Parking for Bear Branch Tavern, located at 133 Maple Ave., E, to increase the maximum number of seats from 300 to 337 (15 mins.)",Howard J. Springsteen,Nay
2026-04-06,37708,"Public Hearing on Request for Approval of Modifications of Site Plan Requirements Related to Parking for Bear Branch Tavern, located at 133 Maple Ave., E, to increase the maximum number of seats from 300 to 337 (15 mins.)",Linda Colbert,Aye
2026-04-06,37707,Request acceptance of donated City of Fairfax-owned Wenger Showmobile stage to the Town of Vienna Parks and Recreation Department (5 mins.),Chuck Anderson,Aye
2026-04-06,37707,Request acceptance of donated City of Fairfax-owned Wenger Showmobile stage to the Town of Vienna Parks and Recreation Department (5 mins.),Roy Baldwin,Aye
2026-04-06,37707,Request acceptance of donated City of Fairfax-owned Wenger Showmobile stage to the Town of Vienna Parks and Recreation Department (5 mins.),Doug Francis,Aye
2026-04-06,37707,Request acceptance of donated City of Fairfax-owned Wenger Showmobile stage to the Town of Vienna Parks and Recreation Department (5 mins.),Dann Nash,Aye
2026-04-06,37707,Request acceptance of donated City of Fairfax-owned Wenger Showmobile stage to the Town of Vienna Parks and Recreation Department (5 mins.),Jessica Ramakis,Aye
2026-04-06,37707,Request acceptance of donated City of Fairfax-owned Wenger Showmobile stage to the Town of Vienna Parks and Recreation Department (5 mins.),Howard J. Springsteen,Aye
2026-04-06,37707,Request acceptance of donated City of Fairfax-owned Wenger Showmobile stage to the Town of Vienna Parks and Recreation Department (5 mins.),Linda Colbert,Aye
2026-04-06,37709,"Request To Set a Public Hearing for May 4, 2026, Regarding the 2026 Comprehensive Plan (5 mins.)",Chuck Anderson,Aye
2026-04-06,37709,"Request To Set a Public Hearing for May 4, 2026, Regarding the 2026 Comprehensive Plan (5 mins.)",Roy Baldwin,Aye
2026-04-06,37709,"Request To Set a Public Hearing for May 4, 2026, Regarding the 2026 Comprehensive Plan (5 mins.)",Doug Francis,Aye
2026-04-06,37709,"Request To Set a Public Hearing for May 4, 2026, Regarding the 2026 Comprehensive Plan (5 mins.)",Dann Nash,Aye
2026-04-06,37709,"Request To Set a Public Hearing for May 4, 2026, Regarding the 2026 Comprehensive Plan (5 mins.)",Jessica Ramakis,Aye
2026-04-06,37709,"Request To Set a Public Hearing for May 4, 2026, Regarding the 2026 Comprehensive Plan (5 mins.)",Howard J. Springsteen,Aye
2026-04-06,37709,"Request To Set a Public Hearing for May 4, 2026, Regarding the 2026 Comprehensive Plan (5 mins.)",Linda Colbert,Aye
2026-04-06,37716,Second Closed Session,Chuck Anderson,Aye
2026-04-06,37716,Second Closed Session,Roy Baldwin,Aye
2026-04-06,37716,Second Closed Session,Doug Francis,Aye
2026-04-06,37716,Second Closed Session,Dann Nash,Aye
2026-04-06,37716,Second Closed Session,Jessica Ramakis,Aye
2026-04-06,37716,Second Closed Session,Howard J. Springsteen,Aye
2026-04-06,37716,Second Closed Session,Linda Colbert,Aye
2026-03-23,37647,Closed Session Report,Chuck Anderson,Aye
2026-03-23,37647,Closed Session Report,Roy Baldwin,Aye
2026-03-23,37647,Closed Session Report,Doug Francis,Aye
2026-03-23,37647,Closed Session Report,Dann Nash,Aye
2026-03-23,37647,Closed Session Report,Jessica Ramakis,Absent
2026-03-23,37647,Closed Session Report,Howard J. Springsteen,Aye
2026-03-23,37647,Closed Session Report,Linda Colbert,Aye
2026-03-23,37648,Public Hearings,Chuck Anderson,Aye
2026-03-23,37648,Public Hearings,Roy Baldwin,Aye
2026-03-23,37648,Public Hearings,Doug Francis,Aye
2026-03-23,37648,Public Hearings,Dann Nash,Aye
2026-03-23,37648,Public Hearings,Jessica Ramakis,Absent
2026-03-23,37648,Public Hearings,Howard J. Springsteen,Aye
2026-03-23,37648,Public Hearings,Linda Colbert,Aye
2026-03-23,37649,Consent Agenda (5 Minutes),Chuck Anderson,Aye
2026-03-23,37649,Consent Agenda (5 Minutes),Roy Baldwin,Aye
2026-03-23,37649,Consent Agenda (5 Minutes),Doug Francis,Aye
2026-03-23,37649,Consent Agenda (5 Minutes),Dann Nash,Aye
2026-03-23,37649,Consent Agenda (5 Minutes),Jessica Ramakis,Absent
2026-03-23,37649,Consent Agenda (5 Minutes),Howard J. Springsteen,Aye
2026-03-23,37649,Consent Agenda (5 Minutes),Linda Colbert,Aye
2026-03-23,37653,Intent To Adopt Zoning and Subdivision Code Updates,Chuck Anderson,Aye
2026-03-23,37653,Intent To Adopt Zoning and Subdivision Code Updates,Roy Baldwin,Aye
2026-03-23,37653,Intent To Adopt Zoning and Subdivision Code Updates,Doug Francis,Aye
2026-03-23,37653,Intent To Adopt Zoning and Subdivision Code Updates,Dann Nash,Aye
2026-03-23,37653,Intent To Adopt Zoning and Subdivision Code Updates,Jessica Ramakis,Absent
2026-03-23,37653,Intent To Adopt Zoning and Subdivision Code Updates,Howard J. Springsteen,Aye
2026-03-23,37653,Intent To Adopt Zoning and Subdivision Code Updates,Linda Colbert,Aye
2026-03-23,37651,"Public Hearing on Request for Approval of Modifications of Site Plan Requirements Related to Lot Coverage (From 43% To 48.5% Proposed) for First Baptist Church of Vienna, located at 450 Orchard St., NW (10 Minutes)",Chuck Anderson,Aye
2026-03-23,37651,"Public Hearing on Request for Approval of Modifications of Site Plan Requirements Related to Lot Coverage (From 43% To 48.5% Proposed) for First Baptist Church of Vienna, located at 450 Orchard St., NW (10 Minutes)",Roy Baldwin,Aye
2026-03-23,37651,"Public Hearing on Request for Approval of Modifications of Site Plan Requirements Related to Lot Coverage (From 43% To 48.5% Proposed) for First Baptist Church of Vienna, located at 450 Orchard St., NW (10 Minutes)",Doug Francis,Aye
2026-03-23,37651,"Public Hearing on Request for Approval of Modifications of Site Plan Requirements Related to Lot Coverage (From 43% To 48.5% Proposed) for First Baptist Church of Vienna, located at 450 Orchard St., NW (10 Minutes)",Dann Nash,Aye
2026-03-23,37651,"Public Hearing on Request for Approval of Modifications of Site Plan Requirements Related to Lot Coverage (From 43% To 48.5% Proposed) for First Baptist Church of Vienna, located at 450 Orchard St., NW (10 Minutes)",Jessica Ramakis,Absent
2026-03-23,37651,"Public Hearing on Request for Approval of Modifications of Site Plan Requirements Related to Lot Coverage (From 43% To 48.5% Proposed) for First Baptist Church of Vienna, located at 450 Orchard St., NW (10 Minutes)",Howard J. Springsteen,Aye
2026-03-23,37651,"Public Hearing on Request for Approval of Modifications of Site Plan Requirements Related to Lot Coverage (From 43% To 48.5% Proposed) for First Baptist Church of Vienna, located at 450 Orchard St., NW (10 Minutes)",Linda Colbert,Aye
