meeting_date,item_id,title,topic_unofficial,vote_tally,meeting_url
2026-06-01,38127,Grounds Maintenance and License Agreement Between the Town of Vienna and Navy Federal Credit Union,Contracts & Purchasing,,https://viennavadata.org/meeting/2026-06-01.html
2026-06-01,38130,Approval of payment to Tyler Technologies for the standard software maintenance agreement (SSMA) for the Vienna Police Department.,Public Safety,,https://viennavadata.org/meeting/2026-06-01.html
2026-06-01,38128,"Proposed renewal of agreement between the Northern Virginia Regional Park Authority, the Northern Virginia Model Railroaders, Inc. and the Town of Vienna for the operation of the W&OD Trail Vienna Railroad Station.",Parks & Recreation,,https://viennavadata.org/meeting/2026-06-01.html
2026-06-01,38131,Appointment of Town Officials for FY 2026-27,Appointments & Resignations,,https://viennavadata.org/meeting/2026-06-01.html
2026-06-01,38124,Regular Business,Procedural,,https://viennavadata.org/meeting/2026-06-01.html
2026-06-01,38129,Tree Advocacy Committee - Request to Amend Vienna Green Streets Policy (5 min. Staff Presentation),"Environment, Trees & Sustainability","2 Nay, 5 Aye",https://viennavadata.org/meeting/2026-06-01.html
2026-06-01,38135,Second Closed Session,Procedural,,https://viennavadata.org/meeting/2026-06-01.html
2026-06-01,38133,Meeting Adjournment,Procedural,,https://viennavadata.org/meeting/2026-06-01.html
2026-06-01,38134,"THE TOWN OF VIENNA IS COMMITTED TO FULL COMPLIANCE WITH THE AMERICANS WITH DISABILITIES ACT STANDARDS. TRANSLATION SERVICES, ASSISTANCE OR ACCOMMODATION REQUESTS FROM PERSONS WITH DISABILITIES ARE TO BE REQUESTED NOT LESS THAN 3 WORKING DAYS BEFORE THE DAY OF THE EVENT. PLEASE CALL (703) 255-6304, OR 711 VIRGINIA RELAY SERVICE FOR THE HEARING IMPAIRED.",Procedural,,https://viennavadata.org/meeting/2026-06-01.html
2026-05-18,37966,"Invocation: Pastor Brenda Burns, Ayr Hill Church",Procedural,,https://viennavadata.org/meeting/2026-05-18.html
2026-05-18,37967,Pledge of Allegiance to the Flag of the United States of America,Procedural,,https://viennavadata.org/meeting/2026-05-18.html
2026-05-18,37968,Roll Call,Procedural,,https://viennavadata.org/meeting/2026-05-18.html
2026-05-18,37969,Acceptance of the Minutes:,Minutes,,https://viennavadata.org/meeting/2026-05-18.html
2026-05-18,37987,"Approval of the April 20th Draft Town Council Work Session, April 27th Draft Town Council Meeting, and May 4th Draft Town Council Meeting Minutes.",Minutes,,https://viennavadata.org/meeting/2026-05-18.html
2026-05-18,37970,"Receipt of petitions and communications from the Public that are not on the Agenda.  
          (Limited to 3 minutes per issue and no formal action can be taken this evening)",Procedural,,https://viennavadata.org/meeting/2026-05-18.html
2026-05-18,37972,Reports/Presentations,Procedural,,https://viennavadata.org/meeting/2026-05-18.html
2026-05-18,37973,Report and Inquiries of Council Members,Procedural,,https://viennavadata.org/meeting/2026-05-18.html
2026-05-18,37974,Report of the Town Manager,Procedural,,https://viennavadata.org/meeting/2026-05-18.html
2026-05-18,37991,Wings Program (5 min. Staff Presentation),"Community, Arts & Events",,https://viennavadata.org/meeting/2026-05-18.html
2026-05-18,37992,Economic Development Quarterly Update (15 min. Staff Presentation),Economic Development,,https://viennavadata.org/meeting/2026-05-18.html
2026-05-18,37975,Report of the Mayor,Procedural,,https://viennavadata.org/meeting/2026-05-18.html
2026-05-18,37976,Proposals for Additional Items to the Agenda,Procedural,,https://viennavadata.org/meeting/2026-05-18.html
2026-05-18,37977,Closed Session Report,Procedural,,https://viennavadata.org/meeting/2026-05-18.html
2026-05-18,37980,Regular Business,Procedural,,https://viennavadata.org/meeting/2026-05-18.html
2026-05-18,37984,Intent to Adopt Real Estate Tax Rate for FY2026-27 (5 min. Staff Presentation),"Budget, Taxes & Finance","6 Aye, 1 Nay",https://viennavadata.org/meeting/2026-05-18.html
2026-05-18,37985,Intent to Adopt Water and Sewer Rates FY 2026-27 (5 min. Staff Presentation),"Water, Sewer & Stormwater",7 Aye,https://viennavadata.org/meeting/2026-05-18.html
2026-05-18,37986,Intent to Adopt FY 2026-27 Operating Budget (5 Min. Staff Presentation),"Budget, Taxes & Finance",7 Aye,https://viennavadata.org/meeting/2026-05-18.html
2026-05-18,37983,Request to award a design contract to Bowman Consulting Firm for the Southside Park Ball Field Improvements Project (5 Min. Staff Presentation),Parks & Recreation,7 Aye,https://viennavadata.org/meeting/2026-05-18.html
2026-05-18,37981,"Vienna License/Franchise Agreement with Level 3 Communications, LLC (a subsidiary of Lumen Technologies)",Contracts & Purchasing,7 Aye,https://viennavadata.org/meeting/2026-05-18.html
2026-05-18,38012,Discussion and Direction on the Draft 2026 Comprehensive Plan,"Land Use, Zoning & Development",,https://viennavadata.org/meeting/2026-05-18.html
2026-05-18,37993,Second Closed Session Report,Procedural,7 Aye,https://viennavadata.org/meeting/2026-05-18.html
2026-05-18,37988,Meeting Adjournment,Procedural,,https://viennavadata.org/meeting/2026-05-18.html
2026-05-18,37989,"THE TOWN OF VIENNA IS COMMITTED TO FULL COMPLIANCE WITH THE AMERICANS WITH DISABILITIES ACT STANDARDS. TRANSLATION SERVICES, ASSISTANCE OR ACCOMMODATION REQUESTS FROM PERSONS WITH DISABILITIES ARE TO BE REQUESTED NOT LESS THAN 3 WORKING DAYS BEFORE THE DAY OF THE EVENT. PLEASE CALL (703) 255-6304, OR 711 VIRGINIA RELAY SERVICE FOR THE HEARING IMPAIRED.",Procedural,,https://viennavadata.org/meeting/2026-05-18.html
2026-05-04,37878,"Invocation: Rev. Dean Miller, Christ Church Vienna",Procedural,,https://viennavadata.org/meeting/2026-05-04.html
2026-05-04,37879,Pledge of Allegiance to the Flag of the United States of America,Procedural,,https://viennavadata.org/meeting/2026-05-04.html
2026-05-04,37880,Roll Call,Procedural,,https://viennavadata.org/meeting/2026-05-04.html
2026-05-04,37881,Acceptance of the Minutes:,Minutes,,https://viennavadata.org/meeting/2026-05-04.html
2026-05-04,37896,"Acceptance of the Town Council Draft Minutes of April 6, 2026",Minutes,,https://viennavadata.org/meeting/2026-05-04.html
2026-05-04,37882,"Receipt of petitions and communications from the Public that are not on the Agenda.  
          (Limited to 3 minutes per issue and no formal action can be taken this evening)",Procedural,,https://viennavadata.org/meeting/2026-05-04.html
2026-05-04,37884,Reports/Presentations,Procedural,,https://viennavadata.org/meeting/2026-05-04.html
2026-05-04,37885,Report and Inquiries of Council Members,Procedural,,https://viennavadata.org/meeting/2026-05-04.html
2026-05-04,37886,Report of the Town Manager,Procedural,,https://viennavadata.org/meeting/2026-05-04.html
2026-05-04,37887,Report of the Mayor,Procedural,,https://viennavadata.org/meeting/2026-05-04.html
2026-05-04,37894,2026 Small Business and Economic Development week Proclamation,Proclamations & Recognitions,,https://viennavadata.org/meeting/2026-05-04.html
2026-05-04,37888,Proposals for Additional Items to the Agenda,Procedural,,https://viennavadata.org/meeting/2026-05-04.html
2026-05-04,37889,Closed Session Report,Procedural,,https://viennavadata.org/meeting/2026-05-04.html
2026-05-04,37890,Public Hearings,Procedural,,https://viennavadata.org/meeting/2026-05-04.html
2026-05-04,37893,Public Hearing on the Planning Commission’s Draft 2026 Comprehensive Plan (10 mins),"Land Use, Zoning & Development",,https://viennavadata.org/meeting/2026-05-04.html
2026-05-04,37892,Regular Business,Procedural,,https://viennavadata.org/meeting/2026-05-04.html
2026-05-04,37895,Fiscal Year 2026-27 Proposed Tax Rate (5 mins),"Budget, Taxes & Finance",7 Aye,https://viennavadata.org/meeting/2026-05-04.html
2026-05-04,37897,Meeting Adjournment,Procedural,,https://viennavadata.org/meeting/2026-05-04.html
2026-05-04,37898,"THE TOWN OF VIENNA IS COMMITTED TO FULL COMPLIANCE WITH THE AMERICANS WITH DISABILITIES ACT STANDARDS. TRANSLATION SERVICES, ASSISTANCE OR ACCOMMODATION REQUESTS FROM PERSONS WITH DISABILITIES ARE TO BE REQUESTED NOT LESS THAN 3 WORKING DAYS BEFORE THE DAY OF THE EVENT. PLEASE CALL (703) 255-6304, OR 711 VIRGINIA RELAY SERVICE FOR THE HEARING IMPAIRED.",Procedural,,https://viennavadata.org/meeting/2026-05-04.html
2026-04-27,37821,"Invocation: Corky Eddins, Christ Church Vienna",Procedural,,https://viennavadata.org/meeting/2026-04-27.html
2026-04-27,37822,Pledge of Allegiance to the Flag of the United States of America,Procedural,,https://viennavadata.org/meeting/2026-04-27.html
2026-04-27,37823,Roll Call,Procedural,,https://viennavadata.org/meeting/2026-04-27.html
2026-04-27,37824,Acceptance of the Minutes:,Minutes,,https://viennavadata.org/meeting/2026-04-27.html
2026-04-27,37844,"March 14 and March 23, 2026 Draft Work Session Minutes",Minutes,,https://viennavadata.org/meeting/2026-04-27.html
2026-04-27,37825,"Receipt of petitions and communications from the Public that are not on the Agenda.  
          (Limited to 3 minutes per issue and no formal action can be taken this evening)",Procedural,,https://viennavadata.org/meeting/2026-04-27.html
2026-04-27,37826,,Procedural,,https://viennavadata.org/meeting/2026-04-27.html
2026-04-27,37827,Reports/Presentations,Procedural,,https://viennavadata.org/meeting/2026-04-27.html
2026-04-27,37828,Report and Inquiries of Council Members,Procedural,,https://viennavadata.org/meeting/2026-04-27.html
2026-04-27,37829,Report of the Town Manager,Procedural,,https://viennavadata.org/meeting/2026-04-27.html
2026-04-27,37841,Next Steps for Strategic Plan (10 mins),Governance & Administration,,https://viennavadata.org/meeting/2026-04-27.html
2026-04-27,37830,Report of the Mayor,Procedural,,https://viennavadata.org/meeting/2026-04-27.html
2026-04-27,37840,Proclamations,Proclamations & Recognitions,,https://viennavadata.org/meeting/2026-04-27.html
2026-04-27,37831,Proposals for Additional Items to the Agenda,Procedural,,https://viennavadata.org/meeting/2026-04-27.html
2026-04-27,37832,Closed Session Report,Procedural,,https://viennavadata.org/meeting/2026-04-27.html
2026-04-27,37833,Public Hearings,Procedural,,https://viennavadata.org/meeting/2026-04-27.html
2026-04-27,37838,Public Hearing for Fiscal Year 2026-27 Proposed Tax Rate (5 mins.),"Budget, Taxes & Finance",7 Aye,https://viennavadata.org/meeting/2026-04-27.html
2026-04-27,37835,Regular Business,Procedural,,https://viennavadata.org/meeting/2026-04-27.html
2026-04-27,37834,Consent Agenda,Consent Agenda,,https://viennavadata.org/meeting/2026-04-27.html
2026-04-27,37837,"Request approval of Transportation Safety Commission (TSC) motion for implementing recommendations at the intersections of Desale Street, SW, and Yeonas Drive, SE, Desale Street, SW, and James Drive, SE, Ross Drive and Desale Street, SW, and Yeonas Circle and Yeonas Drive, SE. (10 mins.)","Streets, Sidewalks & Transportation",7 Aye,https://viennavadata.org/meeting/2026-04-27.html
2026-04-27,37836,"Request Authorization for Additional Contract Expenditure for the Nutley Street Culvert Construction Contract, IFB 25-02, with FLB Contractors, Inc. (5 mins)","Streets, Sidewalks & Transportation",7 Aye,https://viennavadata.org/meeting/2026-04-27.html
2026-04-27,37839,"Donation of Funds to Historic Vienna, Inc. (HVI) for Vienna250 Programs (5 mins)","Budget, Taxes & Finance",7 Aye,https://viennavadata.org/meeting/2026-04-27.html
2026-04-27,37842,Meeting Adjournment,Procedural,,https://viennavadata.org/meeting/2026-04-27.html
2026-04-27,37843,"THE TOWN OF VIENNA IS COMMITTED TO FULL COMPLIANCE WITH THE AMERICANS WITH DISABILITIES ACT STANDARDS. TRANSLATION SERVICES, ASSISTANCE OR ACCOMMODATION REQUESTS FROM PERSONS WITH DISABILITIES ARE TO BE REQUESTED NOT LESS THAN 3 WORKING DAYS BEFORE THE DAY OF THE EVENT. PLEASE CALL (703) 255-6304, OR 711 VIRGINIA RELAY SERVICE FOR THE HEARING IMPAIRED.",Procedural,,https://viennavadata.org/meeting/2026-04-27.html
2026-04-06,37692,Invocation: Baha'is of Vienna Virginia,Procedural,,https://viennavadata.org/meeting/2026-04-06.html
2026-04-06,37693,Pledge of Allegiance to the Flag of the United States of America,Procedural,,https://viennavadata.org/meeting/2026-04-06.html
2026-04-06,37694,Roll Call,Procedural,,https://viennavadata.org/meeting/2026-04-06.html
2026-04-06,37695,Acceptance of the Minutes:,Minutes,,https://viennavadata.org/meeting/2026-04-06.html
2026-04-06,37713,"Acceptance of the March 9, 2026 Work Session draft minutes and the March 23, 2026 Town Council draft minutes.",Minutes,,https://viennavadata.org/meeting/2026-04-06.html
2026-04-06,37696,"Receipt of petitions and communications from the Public that are not on the Agenda.  
          (Limited to 3 minutes per issue and no formal action can be taken this evening)",Procedural,,https://viennavadata.org/meeting/2026-04-06.html
2026-04-06,37698,Reports/Presentations,Procedural,,https://viennavadata.org/meeting/2026-04-06.html
2026-04-06,37699,Report and Inquiries of Council Members,Procedural,,https://viennavadata.org/meeting/2026-04-06.html
2026-04-06,37700,Report of the Town Manager,Procedural,,https://viennavadata.org/meeting/2026-04-06.html
2026-04-06,37701,Report of the Mayor,Procedural,,https://viennavadata.org/meeting/2026-04-06.html
2026-04-06,37712,Proclamations - Arbor Day and National Native Plant Month,Proclamations & Recognitions,,https://viennavadata.org/meeting/2026-04-06.html
2026-04-06,37702,Proposals for Additional Items to the Agenda,Procedural,,https://viennavadata.org/meeting/2026-04-06.html
2026-04-06,37703,Closed Session Report,Procedural,7 Aye,https://viennavadata.org/meeting/2026-04-06.html
2026-04-06,37704,Public Hearings,Procedural,,https://viennavadata.org/meeting/2026-04-06.html
2026-04-06,37710,Public Hearing for Fiscal Year 2026-27 Operating Budget (5 mins.),"Budget, Taxes & Finance",7 Aye,https://viennavadata.org/meeting/2026-04-06.html
2026-04-06,37711,Public Hearing for Fiscal Year 2026-27 Water and Sewer Rates (5 mins.),"Water, Sewer & Stormwater",7 Aye,https://viennavadata.org/meeting/2026-04-06.html
2026-04-06,37708,"Public Hearing on Request for Approval of Modifications of Site Plan Requirements Related to Parking for Bear Branch Tavern, located at 133 Maple Ave., E, to increase the maximum number of seats from 300 to 337 (15 mins.)","Land Use, Zoning & Development","2 Nay, 5 Aye",https://viennavadata.org/meeting/2026-04-06.html
2026-04-06,37705,Consent Agenda,Consent Agenda,,https://viennavadata.org/meeting/2026-04-06.html
2026-04-06,37706,Regular Business,Procedural,,https://viennavadata.org/meeting/2026-04-06.html
2026-04-06,37707,Request acceptance of donated City of Fairfax-owned Wenger Showmobile stage to the Town of Vienna Parks and Recreation Department (5 mins.),Parks & Recreation,7 Aye,https://viennavadata.org/meeting/2026-04-06.html
2026-04-06,37709,"Request To Set a Public Hearing for May 4, 2026, Regarding the 2026 Comprehensive Plan (5 mins.)","Land Use, Zoning & Development",7 Aye,https://viennavadata.org/meeting/2026-04-06.html
2026-04-06,37716,Second Closed Session,Procedural,7 Aye,https://viennavadata.org/meeting/2026-04-06.html
2026-04-06,37714,Meeting Adjournment,Procedural,,https://viennavadata.org/meeting/2026-04-06.html
2026-04-06,37715,"THE TOWN OF VIENNA IS COMMITTED TO FULL COMPLIANCE WITH THE AMERICANS WITH DISABILITIES ACT STANDARDS. TRANSLATION SERVICES, ASSISTANCE OR ACCOMMODATION REQUESTS FROM PERSONS WITH DISABILITIES ARE TO BE REQUESTED NOT LESS THAN 3 WORKING DAYS BEFORE THE DAY OF THE EVENT. PLEASE CALL (703) 255-6304, OR 711 VIRGINIA RELAY SERVICE FOR THE HEARING IMPAIRED.",Procedural,,https://viennavadata.org/meeting/2026-04-06.html
2026-03-23,37636,"Invocation: Johnny Kurcina, Christ Church Vienna",Procedural,,https://viennavadata.org/meeting/2026-03-23.html
2026-03-23,37637,Pledge of Allegiance to the Flag of the United States of America,Procedural,,https://viennavadata.org/meeting/2026-03-23.html
2026-03-23,37638,Roll Call,Procedural,,https://viennavadata.org/meeting/2026-03-23.html
2026-03-23,37639,Acceptance of the Minutes:,Minutes,,https://viennavadata.org/meeting/2026-03-23.html
2026-03-23,37659,"Acceptance Of Work Session Draft Minutes of February 9, 2026, and Draft Town Council meeting Minutes February 23 and March 2, 2026.",Minutes,,https://viennavadata.org/meeting/2026-03-23.html
2026-03-23,37640,"Receipt of petitions and communications from the Public that are not on the Agenda.  
          (Limited to 3 minutes per issue and no formal action can be taken this evening)",Procedural,,https://viennavadata.org/meeting/2026-03-23.html
2026-03-23,37642,Reports/Presentations,Procedural,,https://viennavadata.org/meeting/2026-03-23.html
2026-03-23,37643,Report and Inquiries of Council Members,Procedural,,https://viennavadata.org/meeting/2026-03-23.html
2026-03-23,37644,Report of the Town Manager,Procedural,,https://viennavadata.org/meeting/2026-03-23.html
2026-03-23,37645,Report of the Mayor,Procedural,,https://viennavadata.org/meeting/2026-03-23.html
2026-03-23,37646,Proposals for Additional Items to the Agenda,Procedural,,https://viennavadata.org/meeting/2026-03-23.html
2026-03-23,37647,Closed Session Report,Procedural,"6 Aye, 1 Absent",https://viennavadata.org/meeting/2026-03-23.html
2026-03-23,37648,Public Hearings,Procedural,"6 Aye, 1 Absent",https://viennavadata.org/meeting/2026-03-23.html
2026-03-23,37649,Consent Agenda (5 Minutes),Minutes,"6 Aye, 1 Absent",https://viennavadata.org/meeting/2026-03-23.html
2026-03-23,37652,Use of Right of Way and Telecommunication Facilities License Renewal by U.S. Federal Government,Contracts & Purchasing,,https://viennavadata.org/meeting/2026-03-23.html
2026-03-23,37654,"Request to Set a Public Hearing for April 6, 2026, regarding the FY2026-27 Proposed Operating Budget","Budget, Taxes & Finance",,https://viennavadata.org/meeting/2026-03-23.html
2026-03-23,37655,"Request to Set a Public Hearing for April 6, 2026, regarding the FY2026-27 Proposed Water and Sewer Rates","Water, Sewer & Stormwater",,https://viennavadata.org/meeting/2026-03-23.html
2026-03-23,37656,"Request to Set a Public Hearing for April 27, 2026, regarding the FY2026-27 Proposed Real Estate Tax Rate","Budget, Taxes & Finance",,https://viennavadata.org/meeting/2026-03-23.html
2026-03-23,37650,Regular Business (5 Minutes),Minutes,,https://viennavadata.org/meeting/2026-03-23.html
2026-03-23,37653,Intent To Adopt Zoning and Subdivision Code Updates,"Land Use, Zoning & Development","6 Aye, 1 Absent",https://viennavadata.org/meeting/2026-03-23.html
2026-03-23,37661,Public Hearing,Procedural,,https://viennavadata.org/meeting/2026-03-23.html
2026-03-23,37651,"Public Hearing on Request for Approval of Modifications of Site Plan Requirements Related to Lot Coverage (From 43% To 48.5% Proposed) for First Baptist Church of Vienna, located at 450 Orchard St., NW (10 Minutes)",Minutes,"6 Aye, 1 Absent",https://viennavadata.org/meeting/2026-03-23.html
2026-03-23,37657,Meeting Adjournment,Procedural,,https://viennavadata.org/meeting/2026-03-23.html
2026-03-23,37658,"THE TOWN OF VIENNA IS COMMITTED TO FULL COMPLIANCE WITH THE AMERICANS WITH DISABILITIES ACT STANDARDS. TRANSLATION SERVICES, ASSISTANCE OR ACCOMMODATION REQUESTS FROM PERSONS WITH DISABILITIES ARE TO BE REQUESTED NOT LESS THAN 3 WORKING DAYS BEFORE THE DAY OF THE EVENT. PLEASE CALL (703) 255-6304, OR 711 VIRGINIA RELAY SERVICE FOR THE HEARING IMPAIRED.",Procedural,,https://viennavadata.org/meeting/2026-03-23.html
2026-03-02,37276,Invocation: Ray Brill,Procedural,,https://viennavadata.org/meeting/2026-03-02.html
2026-03-02,37277,Pledge of Allegiance to the Flag of the United States of America,Procedural,,https://viennavadata.org/meeting/2026-03-02.html
2026-03-02,37278,Roll Call,Procedural,,https://viennavadata.org/meeting/2026-03-02.html
2026-03-02,37279,Acceptance of the Minutes:,Minutes,,https://viennavadata.org/meeting/2026-03-02.html
2026-03-02,37294,2-9-2026 Draft Town Council Work session Minutes,Minutes,,https://viennavadata.org/meeting/2026-03-02.html
2026-03-02,37280,"Receipt of petitions and communications from the Public that are not on the Agenda.  
          (Limited to 3 minutes per issue and no formal action can be taken this evening)",Procedural,,https://viennavadata.org/meeting/2026-03-02.html
2026-03-02,37282,Reports/Presentations,Procedural,,https://viennavadata.org/meeting/2026-03-02.html
2026-03-02,37283,Report and Inquiries of Council Members,Procedural,,https://viennavadata.org/meeting/2026-03-02.html
2026-03-02,37284,Report of the Town Manager,Procedural,,https://viennavadata.org/meeting/2026-03-02.html
2026-03-02,37285,Report of the Mayor,Procedural,,https://viennavadata.org/meeting/2026-03-02.html
2026-03-02,37291,American Red Cross Month Proclamation,Proclamations & Recognitions,,https://viennavadata.org/meeting/2026-03-02.html
2026-03-02,37286,Proposals for Additional Items to the Agenda,Procedural,,https://viennavadata.org/meeting/2026-03-02.html
2026-03-02,37287,Closed Session Report,Procedural,7 Aye,https://viennavadata.org/meeting/2026-03-02.html
2026-03-02,37289,Consent Agenda,Consent Agenda,7 Aye,https://viennavadata.org/meeting/2026-03-02.html
2026-03-02,37297,Request approval of Memorandum of Understanding (MOU) between Vienna Little League and Town of Vienna for use of Yeonas Park during the Independence Day Celebration and Fireworks Show.,Parks & Recreation,,https://viennavadata.org/meeting/2026-03-02.html
2026-03-02,37298,Request approval of Memorandum of Understanding (MOU) between the Town of Vienna and Vienna Business Association for 2026 Halloween Parade,"Community, Arts & Events",,https://viennavadata.org/meeting/2026-03-02.html
