meeting_date,body,case,title
2026-05-05,Windover Heights Board of Review,BZA-26157,"Request for a Certificate of Appropriateness for a new fence at the property located at 348 Windover Avenue NW, Docket No. PF-#2134148-WHBR, in the RS-16, Residential single-unit, 16,000 sq. ft. zoning district. The application has been filed by Davis Chau of GeoEnv Engineers, who is both the applicant and the property owner."
2026-05-05,Windover Heights Board of Review,BZA-26156,"Request for a Certificate of Appropriateness for improvements at Salsbury Spring Park, Docket No. PF-#2134722-WHBR, in the RS-16, Residential single-unit, 16,000 sq. ft. zoning district. The application has been filed by Leslie Herman, Town of Vienna Director of Parks and Recreation, and the property owner is the Town of Vienna."
2026-04-22,Board of Architectural Review Work Session,BARWS26-101,144 Maple Ave E - Town Green Amphitheater - BAR Work Session
2026-04-20,Planning Commission Work Session,26-5534,Joint Town Council and Planning Commission Work Session - Draft 2026 Comprehensive Plan Update
2026-04-08,Board of Architectural Review Work Session,BARWS26-100,Board of Architectural Review - Sign & Lighting Design Guidelines
2026-04-07,Windover Heights Board of Review,WHRB26-031,"Request for a Certificate of Appropriateness for a new fence and arbor at 200 Walnut Lane NW, Docket No. PF-2067085-WHBR, in the RS-16, single-unit detached residential zoning district. The application has been filed by Shauna Scott, the property owner."
2026-03-19,Board of Architectural Review,BAR26-681,1007 Electric Ave SE - Navy Federal Credit Union Exterior Modifications
2026-03-19,Board of Architectural Review,BAR26-680,Lighting Update
2026-03-19,Board of Architectural Review,BAR26-678,901 Follin Ln SE - Navy Federal Credit Union Signs
2026-03-19,Board of Architectural Review,BAR26-676,121 Maple Ave W - Gilded Pet Spa - Signs and Awning
2026-03-19,Board of Architectural Review,BAR26-675,107 Center St. N - Nailbox by Savior Signs
2026-03-19,Board of Architectural Review,BAR26-674,120 Church St NE - The Casey Sampson Team Sign
2026-03-19,Board of Architectural Review,BAR26-673,541 Marshall Rd SW - Chinese Christian Church Sign.
2026-03-19,Board of Architectural Review,BAR26-672,374 Maple Ave E - Matthews Law Sign
2026-03-18,Board of Zoning Appeals,BZA-26151,Variance - 203 Albea Court NE
2026-03-11,Planning Commission,PC26-297,Annual Renewal of Resolution and Policy on Electronic Participation of Members of the Planning Commission
2026-03-11,Planning Commission,PC26-296,Review of Planning Commission Bylaws and Rules of Procedure
2026-03-11,Planning Commission,PC26-295,"Recommendation to Town Council on Request for Modifications of Site Plan Requirements Related to Parking for Bear Branch Tavern, located at 133 Maple Avenue E."
2026-03-11,Planning Commission,26-5498,Acceptance of Meeting Minutes
2026-02-25,Planning Commission,PC26-293,Draft 2026 Comprehensive Plan Update - Final Review and Recommendation to Town Council
2026-02-25,Planning Commission,PC26-292,"Recommendation to Town Council on request for modifications of site plan requirements related to lot coverage. (25% permitted; 48.5% proposed) for First Baptist Church of Vienna, located at 450 Orchard St NW."
2026-02-25,Planning Commission,26-5469,Acceptance of Meeting Minutes
2026-02-19,Board of Architectural Review,BAR26-671,144 Maple Ave E - Town Green - Exterior Modification
2026-02-19,Board of Architectural Review,BAR26-670,120 Cherry St SE - Caffi Field - Exterior Modification
2026-02-19,Board of Architectural Review,BAR26-669,450 Orchard St NW - First Baptist Church -- Exterior Modification
2026-02-19,Board of Architectural Review,BAR26-668,134 Maple Ave W - Signs
2026-02-19,Board of Architectural Review,BAR26-667,256 Maple Ave E - Shipley Do-nuts Signs
2026-02-19,Board of Architectural Review,BAR26-666,405 Maple Ave E - Brazilian Honey Pot
2026-02-19,Board of Architectural Review,BAR26-665,264 Cedar Ln SE - Vienna Ace Sign
2026-02-19,Board of Architectural Review,BAR26-664,386 Maple Ave E - Joseph Moton Building Sign
2026-02-11,Planning Commission,PC26-291,"Recommendations to Board of Zoning Appeals on request to amend an existing Conditional Use Permit, and to Town Council on request for modifications of site plan requirements, for Green Hedges School, located at 415 Windover Ave NW, in the RS-12.5 Zoning District."
2026-02-11,Planning Commission,PC26-290,"Draft 2026 Comprehensive Plan Update - Town-Business Liaison Committee Comments, Discussion and Direction to Staff"
2026-02-03,Windover Heights Board of Review,WHRB26-032,"Request for a Certificate of Appropriateness to renovate the single-unit detached home and construct a new three-car garage on the property located at 364 Windover Avenue NW, Docket No. PF-2009676-26-WHBR, in the RS-12.5, Residential single-unit, 12.500 sq. ft. zoning district. The application has been filed by Kiley Wilfong Cullen and Justin Cullen of Ven Studio Architects. Timothy Chapman is the property owner."
2026-02-03,Windover Heights Board of Review,WHRB26-029,"Request for a Certificate of Appropriateness for the revised color palette at the new single-unit detached home on the property located at 313 Windover Avenue NW, Docket No. PF-1759881-2025-WHBR, in the RS-16, Residential single-unit, 16,000 sq. ft. zoning district. The application has been filed by Patrick Ohlhorst of Cloud IX Homes. Elshaday and Leah Belay are the property owners."
2026-01-28,Planning Commission,PC26-289,"Recommendations to Board of Zoning Appeals on request to amend an existing Conditional Use Permit, and to Town Council on request for modifications of site plan requirements for Green Hedges School, located at 415 Windover Ave NW, in the RS-12.5 Zoning District."
2026-01-28,Planning Commission,PC26-288,Draft 2026 Comprehensive Plan Update - Town-Business Liaison Committee Comments and Discussion
2026-01-22,Board of Architectural Review Work Session,BARWS26-099,264 Cedar Ln SE - BAR Work Session - Sign
2026-01-21,Board of Zoning Appeals,BZA-26150,438-440 Mill St NE - Request approval of a Conditional Use Permit (CUP) for private indoor recreational use at 432-436 Mill Street NE to include 438-440 Mill Street NE in the Mill District zone.
2026-01-21,Board of Zoning Appeals,BZA-26149,"301 Center St S. - Consider an application concerning the Town-owned property at 301 Center Street South, commonly referred to as “the Annex,” for a Conditional Use Permit (CUP) to authorize a range of short-term governmental and community uses."
2026-01-15,Board of Architectural Review,BAR26-662,121 Maple Ave W - The Gilded Pet Spa - Exterior Modifications
2026-01-15,Board of Architectural Review,BAR26-661,800 Maple Ave E - Westwood Country Club - Exterior Modifications
2026-01-15,Board of Architectural Review,BAR26-660,404 Pine St SE - Classic Cottages - Exterior Modifications
2026-01-15,Board of Architectural Review,BAR26-659,330 Dominion Rd NE - Metro Motor Collision - Sign
2026-01-14,Planning Commission,PC26-287,"Recommendations to Board of Zoning Appeals on request to amend an existing Conditional Use Permit, and to Town Council on request for modifications of site plan requirements for Green Hedges School, located at 415 Windover Ave NW, in the RS-12.5 Zoning District."
2026-01-14,Planning Commission,PC26-286,Draft 2026 Comprehensive Plan Update - Town-Business Liaison Committee Comments and Discussion
2026-01-14,Planning Commission,PC26-285,Request for recommendation to the Board of Zoning Appeals for a Conditional Use Permit for a private indoor recreational use at 432-436 Mill Street NE to include 438-440 Mill Street NE in the Mill District zone.
2026-01-14,Planning Commission,26-5412,Acceptance of the Meeting Minutes
2025-12-18,Board of Architectural Review,BAR25-658,411 Maple Ave E - Dunkin & Baskin Robbins - Exterior Modifications
2025-12-18,Board of Architectural Review,BAR25-657,411 Maple Ave E - Dunkin & Baskin Robbins - Signs
2025-12-18,Board of Architectural Review,BAR25-656,820 Follin Ln SE - NFCU - Exterior Modifications (Pavilion)
2025-12-18,Board of Architectural Review,BAR25-655,442 Maple Ave E - Clarity - Exterior Modification
2025-12-18,Board of Architectural Review,BAR25-654,105 Park St SE - Marcillo Astrology - Signs
2025-12-18,Board of Architectural Review,BAR25-653,386 Maple Ave E - Sign
2025-12-10,Planning Commission,PC25-284,Draft 2026 Comprehensive Plan Update - Public Comments and Discussion
2025-12-10,Planning Commission,PC25-283,Public Hearing on Proposed Updates to Chapter 18 - Zoning and Subdivision in Response to State Code Changes and Other Items
2025-12-10,Planning Commission,PC25-282,Election of Planning Commission Officers
2025-12-10,Planning Commission,PC25-281,"Recommendation to Board of Zoning Appeals for a Conditional Use Permit for a series of governmental and public outdoor parks and recreational uses for the property located at 301 Center Street South, zoned RS-10 (Single-Unit Residential, 10,000 sq. ft.)."
2025-12-10,Planning Commission,25-5374,Acceptance of the Meeting Minutes
2025-12-02,Windover Heights Board of Review Work Session,WHRB26-033,Salsbury Spring Park - Work Session for Proposed Improvements
2025-12-02,Windover Heights Board of Review,WHRB25-027,"Request for a Certificate of Appropriateness for a new fence on 200 Walnut Lane NW along its side yard with Lawyers Road NW, Docket No. PF-#1936838-WHBR, in the RS-16, single-unit detached residential zoning district. The application has been filed by Shauna Scott, the property owner."
2025-11-20,Board of Architectural Review,BAR25-652,515 Maple Ave E - Sekas Mixed Use - Revision - Landscape Plans
2025-11-20,Board of Architectural Review,BAR25-651,330 Dominion Rd NE - Metro Motor Collision - Exterior Modification
2025-11-20,Board of Architectural Review,BAR25-650,1001 Park St SE - Cunningham Park - Exterior Modification - Lights
2025-11-20,Board of Architectural Review,BAR25-649,100 Ayr Hill Ave NE - Ayr Hill Church - Signs
2025-11-20,Board of Architectural Review,BAR25-648,346 Maple Ave W - Charming Nail Spa - Sign
2025-11-20,Board of Architectural Review,BAR25-647,359 Maple Ave E - Giant Foods - Signs
2025-11-20,Board of Architectural Review,BAR25-646,208 Dominion Rd NE - Toastique - Sign
2025-11-20,Board of Architectural Review,BAR25-645,155 Maple Ave W - Bing Bings Dumpling - Sign
2025-11-20,Board of Architectural Review,BAR25-644,111 A Park St NE- Residential - Exterior Modification - Solar Panels
2025-11-20,Board of Architectural Review,BAR25-643,127 A Park St NE- Residential - Exterior Modification - Solar Panels
2025-11-20,Board of Architectural Review,BAR25-642,119 A Park St NE - Residential - Exterior Modification -Solar Panels
2025-11-20,Board of Architectural Review,BAR25-641,121 A Park St NE -Residential - Exterior Modification - Solar Panels
2025-11-19,Board of Zoning Appeals,BZA-25148,"Request for approval of a variance from Section 18-219.2., RS-10, Dimensional Standards., Rear Yard, of the Town of Vienna Zoning and Subdivision Ordinance, to construct a covered deck to be attached to an existing dwelling located at 806 Plum Street SW, in the RS-10, Single-Unit Detached Residential zone."
2025-11-12,Planning Commission,PC25-280,Public Hearing for the Draft 2026 Comprehensive Plan Update
2025-11-12,Planning Commission,25-5339,Acceptance of the Meeting Minutes
2025-10-29,Board of Architectural Review Work Session,BARWS25-098,527 Maple Ave E - Smart Link - AT&T Telecommunications - Exterior Modification - Work Session
2025-10-21,Windover Heights Board of Review,WHRB25-026,Windover Heights Transportation Safety Study Plan
2025-10-21,Windover Heights Board of Review,WHRB25-025,Board Members’ Discussion Items
2025-10-21,Windover Heights Board of Review,WHRB25-024,Discussion of Revisions to WHBR Application and Webpage
2025-10-21,Windover Heights Board of Review,WHRB25-023,Discussion of 2026 Draft Comprehensive Plan
2025-10-16,Board of Architectural Review,BAR25-640,515 Maple Ave E - Sekas Homes - Exterior Modification - Mixed Use
2025-10-16,Board of Architectural Review,BAR25-639,176 Maple Ave W - Electric Bull - Sign
2025-10-16,Board of Architectural Review,BAR25-638,513 Maple Ave - Sunshine Mobile Shop - Signs
2025-10-15,Board of Zoning Appeals,BZA-25147,"Request for approval of a variance from Section 18-219.2. RS-10 Dimensional Standards., Rear Yard, of the Town of Vienna Zoning Code, to construct a covered deck, attached to an existing dwelling located at 644 Tazewell Road NW, in the RS-10, Single-Unit Detached Residential zone."
2025-10-15,Board of Zoning Appeals,BZA-25146,"Request for approval of a variance from Section 18-465.1.C.,Fences., to allow a fence greater than 4 feet within the side yard setback to maintain an existing fence on the property at 609 Alma Street SE, in the RS-10, Single-Unit Detached Residential zone."
2025-10-08,Planning Commission,PC25-279,Introduction to the Planning Commission regarding Proposed Updates to Chapter 18 - Zoning and Subdivision in Response to State Code Changes and Other Items
2025-10-08,Planning Commission,PC25-278,"[WITHDRAWN] Request for recommendation for an amendment to a conditional use permit to the Board of Zoning Appeals for childcare for Wesley United Methodist Church at 711 Spring Street SE, in the RS-10, Residential - Single-Unit, 10,000 sq. ft. zone."
2025-10-08,Planning Commission,PC25-277,"Recommendation to Board of Zoning Appeals for a Conditional Use Permit for a series of governmental and public outdoor parks and recreational uses, and to Town Council for Modifications of Requirements related to lot coverage for the property located at 301 Center Street South, zoned RS-10 (Single-Unit Residential, 10,000 sq. ft.)."
2025-10-08,Planning Commission,25-5288,Acceptance of the Meeting Minutes
2025-09-24,Planning Commission Work Session,PCWS25-159,"Work Session on updated concept plans for amendments to both the Conditional Use Permit and the site plan for Green Hedges School, located at 415 Windover Ave NW"
2025-09-24,Planning Commission,PC25-276,Draft Comprehensive Plan
2025-09-24,Planning Commission,PC25-275,Consideration of the Planning Commission draft Annual Report for FISCAL YEAR 2025
2025-09-24,Planning Commission,25-5276,Acceptance of the Meeting Minutes
2025-09-23,Board of Architectural Review Work Session,BARWS25-097,515 Maple Ave E - Sekas Homes - Exterior Modifications - Work Session
2025-09-18,Board of Architectural Review,BAR25-637,502 Maple Ave W - Yousefi Building - Exterior Modifications
2025-09-18,Board of Architectural Review,BAR25-636,352 Maple Ave E - Wiygul Automotive Clinic - Signs & Exterior Modification
2025-09-18,Board of Architectural Review,BAR25-635,332 Maple Ave E - Burke & Herbert Bank - Signs
2025-09-18,Board of Architectural Review,BAR25-634,136 Maple Ave W - Pump24 Vienna - Sign
2025-09-18,Board of Architectural Review,BAR25-633,264 Cedar Ln SE - ACE - sign
2025-09-18,Board of Architectural Review,BAR25-632,155 Glyndon St SE - Blooming Nail & Spa - Signs
2025-09-17,Board of Zoning Appeals,BZA-25145,"*POSTPONED* Request for approval of a variance from Section 18-219.2. RS-10 Dimensional Standards., Rear Yard, of the Town of Vienna Zoning Code, to construct a covered deck, attached to an existing dwelling located at 644 Tazewell Rd NW, in the RS-10, Single-Unit Detached Residential zone."
2025-09-17,Board of Zoning Appeals,BZA-25144,"Request for approval of a conditional use permit for massage as an accessory use for Heart Tree Yoga & Myofascial Release LLC, in accordance with Section 18-305 of the Town of Vienna Zoning and Subdivision Ordinance, at a residential property located at 605 Upham Place NW, in the RS-10, Residential – Single-Unit, 10,000 sq. ft. zone."
2025-09-17,Board of Zoning Appeals,BZA-25143,"*WITHDRAWN* Request for approval of a variance from Section 18-238.4.C.i.b. of the Chesapeake Bay Preservation Areas Overlay (CB-O), Performance Criteria, of the Town of Vienna Zoning Code, to construct a deck, attached to an existing dwelling located at 404 Welles Street SE, in the RS-16, Single-Unit Detached Residential zone."
2025-09-10,Planning Commission,PC25-274,"Request for recommendation for a conditional use permit to the Board of Zoning Appeals for massage as an accessory use for Heart Tree Yoga & Myofascial Release LLC at a residential property located at 605 Upham Place NW, in the RS-10, residential – single-unit, 10,000 sq. ft. zone."
2025-09-10,Planning Commission,PC25-273,Consideration of the draft FISCAL YEAR 2025 Annual Report for the Planning Commission
2025-09-10,Planning Commission,25-5227,Acceptance of Meeting Minutes
2025-09-09,Windover Heights Board of Review,WHRB25-022,Consideration of the draft FISCAL YEAR 2025 Annual Report for Heights Board of Review
2025-08-27,Planning Commission Work Session,PCWS25-158,Comprehensive Plan - Review Draft of Consolidated Text with Initial Formatting
2025-08-21,Board of Architectural Review,BAR25-631,820 Follin Ln SE - NFCU - Exterior Modification ( Auditorium)
2025-08-21,Board of Architectural Review,BAR25-630,820 Follin Ln SE - NFCU - Signs
2025-08-21,Board of Architectural Review,BAR25-629,820 Follin Ln SE - NFCU - Exterior Modifications (Charging Stations)
2025-08-21,Board of Architectural Review,BAR25-628,1315 Ross Dr SW - Southside Park - Exterior Modifications
2025-08-21,Board of Architectural Review,BAR25-627,303 Maple Ave W - SmileWorx - Sign
2025-08-21,Board of Architectural Review,BAR25-626,155 Glyndon St SE - Blooming Nail & Spa - Sign
2025-08-21,Board of Architectural Review,BAR25-625,167 Glyndon St SE - Texas Donuts - Sign
2025-08-21,Board of Architectural Review,BAR25-624,264 Cedar Ln SE - Ace Hardware - Sign
2025-08-21,Board of Architectural Review,BAR25-623,302 Maple Ave W - Frame Coffee - Sign
2025-08-21,Board of Architectural Review,BAR25-622,146 Church St NE - Church & Mill Interior Design - Sign
2025-08-05,Windover Heights Board of Review,WHRB25-021,"Request for a Certificate of Appropriateness for the proposed new single-unit detached home on the property located at 313 Windover Avenue NW, Docket No. PF-1759881-WHBR, in the RS-16, Residential single-unit, 16,000 sq. ft. zoning district. The application has been filed by Patrick Ohlhorst of Cloud IX Homes on behalf of Elshaday and Leah Belay property owners."
2025-07-31,Board of Architectural Review Work Session,BARWS25-096,"515 Maple Ave E - Sekas Homes, LTD (mixed-use development) -Exterior Modifications - Work Session"
2025-07-17,Board of Architectural Review,BAR25-621,Town Council Draft Strategic Plan
2025-07-17,Board of Architectural Review,BAR25-620,352 Maple Ave W - Train - Revision - Sign and Exterior Modification
2025-07-17,Board of Architectural Review,BAR25-619,237 Maple Ave E - Brusters - Outdoor Dining
2025-07-17,Board of Architectural Review,BAR25-618,235 Maple Ave E - Pizza Vienna - Outdoor Dining
2025-07-17,Board of Architectural Review,BAR25-617,136 Maple Ave W - Pure Green - Signs
2025-07-17,Board of Architectural Review,BAR25-616,264 E Cedar Ln SE - Cedar Park Shopping Center - Exterior Modification
2025-07-16,Board of Zoning Appeals,BZA-25141,"Request for approval of a Conditional Use Permit, per Sec. 18-304., to allow Specialized Instruction for a ceramics studio and classes at 390 B Maple Ave E, for Clay & Kiln Studio LLC, in the AE zone."
2025-07-16,Board of Zoning Appeals,BZA-25140,"Request for approval of a variance from Section 18-218.2. RS-12.5 Dimensional Standards., Rear Yard, of the Town of Vienna Zoning Code, to construct an addition and modify an existing cantilevered structure at the rear of a dwelling located at 320 Westview Ct. NE, in the RS-12.5, Single-Unit Detached Residential zone."
2025-07-16,Board of Architectural Review Work Session,BARWS25-095,352 Maple Ave E - Wiygul Automotive Clinic - Exterior Modifications - Work Session
2025-07-09,Planning Commission Work Session,PCWS25-157,Comprehensive Plan - Review drafts of chapters
2025-07-01,Windover Heights Board of Review,WHRB25-019,"Request for a Certificate of Appropriateness for fence installation on property located at 288 Windover Avenue NW, per Sec. 18-840.1.B, Docket No WHBR-1759879, in the RS-16, single-family detached residential zoning district. Application filed by Patrick Ohlhorst of Cloud IX Homes, LLC on behalf of Micheal and Mary Parks, owners."
2025-07-01,Windover Heights Board of Review,WHRB25-018,Review Town Council Draft Strategic Plan
2025-07-01,Windover Heights Board of Review,25-5389,"313 Windover Avenue NW - Work Session
Design Review - New Single-Unit Dwelling"
2025-07-01,Windover Heights Board of Review Work Session,25-5389,"313 Windover Avenue NW - Work Session
Design Review - New Single-Unit Dwelling"
2025-06-25,Planning Commission Work Session,PCWS25-156,"Comprehensive Plan Work Session - Review Second Draft of Chapters 3 and 7, and first Draft of Revised Future Land Use Map"
2025-06-25,Planning Commission,PC25-272,"Request for recommendation to the Town Council on proposed site plan for 1007 Electric Ave SE, Navy Federal Credit Union, for the installation of two-way drive-through ATM facility."
2025-06-25,Planning Commission,PC25-271,"Request for recommendation for a Conditional Use Permit to the Board of Zoning Appeals for Specialized Instruction at 390-B Maple Ave E in the Avenue East (AE) zoning district. Application filed by Pinar Turhan, Clay & Kiln Studios LLC."
2025-06-25,Planning Commission,25-5168,Acceptance of Meeting Minutes
2025-06-18,Board of Zoning Appeals,BZA-25139,"Request by The Gift of Language Center for a Conditional Use Permit, per Section 18-304, to allow a Family Day Home for up to 12 children (ages 2-5) at 209 Berry St SE, in the RS-16 zone."
2025-06-18,Board of Zoning Appeals,BZA-25138,"Request by Future Innovators of Vienna, LLC (iCode Vienna) for a Conditional Use Permit, per Section 18-304, to allow Specialized Instruction at 419-B Maple Ave E, in the Avenue East Gateway (AE) District."
2025-06-12,Board of Architectural Review,BAR25-615,127-133 Park St NE - Grove on Park - Exterior Modifications - Revision
2025-06-12,Board of Architectural Review,BAR25-614,1007 Electric Ave SE - Navy Federal Credit Union - ATM - Exterior Modification
2025-06-12,Board of Architectural Review,BAR25-613,352 Maple Ave W - Train - Exterior Modification - Revision
2025-06-12,Board of Architectural Review,BAR25-612,212 Park St SE - Vienna Family Dentist - Exterior Modifications
2025-06-12,Board of Architectural Review,BAR25-611,501 Church St NE - Klondyke LLC - Exterior Modification
2025-06-12,Board of Architectural Review,BAR25-610,448 Maple Ave E - Silva & Son - Sign
2025-06-12,Board of Architectural Review,BAR25-609,527 Maple Ave W - Mah Boutique - Sign
2025-06-11,Planning Commission Work Session,PCWS25-155,Town of Vienna Strategic Vision - Draft
2025-06-11,Planning Commission Work Session,PCWS25-154,Comprehensive Plan: Review of Future Land Use Map
2025-06-11,Planning Commission Work Session,PCWS25-153,"Comprehensive Plan Work Session - Review Second Draft of Chapters 2, 6, and 8"
2025-06-11,Planning Commission,PC25-270,"Request by The Gift of Language Center for a recommendation to the Board of Zoning Appeals for a Conditional Use Permit to allow a Family Day Home for up to 12 children (ages 2-5) at 209 Berry St SE, in the RS-16 zone."
